,"(((B,N),L),K)","(((B,N),K),L)","(B,N),(L,K)","(((B,L),N),K)","(((B,L),K),N)","(B,L),(N,K)","(((B,K),N),L)","(((B,K),L),N)","(B,K),(N,L)","(((N,L),B),K)","(((N,L),K),B)","(((N,K),B),L)","(((N,K),L),B)","(((L,K),B),N)","(((L,K),N),B)",Non-monophyletic,Poor-resolution,name,disp,ne,time,int
archsim_m20_n50000_e400000_i400000_mak,12,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,6,archsim_m20_n50000_e400000_i400000_mak,20,50000,400000,400000
archsim_m10_n200000_e3200000_i200000_mak,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,48,archsim_m10_n200000_e3200000_i200000_mak,10,200000,3200000,200000
archsim_m100_n100000_e200000_i400000_mak,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,2,0,archsim_m100_n100000_e200000_i400000_mak,100,100000,200000,400000
archsim_m60_n50000_e200000_i50000_mak,2,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,1,archsim_m60_n50000_e200000_i50000_mak,60,50000,200000,50000
archsim_m30_n200000_e400000_i200000_mak,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,archsim_m30_n200000_e400000_i200000_mak,30,200000,400000,200000
archsim_m80_n200000_e400000_i50000_mak,15,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1,4,archsim_m80_n200000_e400000_i50000_mak,80,200000,400000,50000
archsim_m0.0001_n100000_e800000_i25000_mak,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,archsim_m0.0001_n100000_e800000_i25000_mak,00001,100000,800000,25000
archsim_m15_n50000_e800000_i400000_mak,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,1,archsim_m15_n50000_e800000_i400000_mak,15,50000,800000,400000
archsim_m60_n100000_e800000_i50000_mak,24,0,1,20,0,0,0,0,0,0,0,0,0,0,0,1,4,archsim_m60_n100000_e800000_i50000_mak,60,100000,800000,50000
archsim_m80_n200000_e200000_i25000_mak,1,0,4,41,0,0,0,0,0,0,0,0,0,0,0,0,4,archsim_m80_n200000_e200000_i25000_mak,80,200000,200000,25000
archsim_m80_n200000_e200000_i400000_mak,0,0,45,1,0,0,0,0,0,0,0,0,0,0,0,2,2,archsim_m80_n200000_e200000_i400000_mak,80,200000,200000,400000
archsim_m40_n200000_e1600000_i400000_mak,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,8,archsim_m40_n200000_e1600000_i400000_mak,40,200000,1600000,400000
archsim_m80_n200000_e1600000_i200000_mak,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,2,0,archsim_m80_n200000_e1600000_i200000_mak,80,200000,1600000,200000
archsim_m60_n50000_e200000_i25000_mak,1,0,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,archsim_m60_n50000_e200000_i25000_mak,60,50000,200000,25000
archsim_m15_n50000_e3200000_i200000_mak,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,1,0,archsim_m15_n50000_e3200000_i200000_mak,15,50000,3200000,200000
archsim_m30_n200000_e800000_i25000_mak,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,archsim_m30_n200000_e800000_i25000_mak,30,200000,800000,25000
archsim_m50_n50000_e200000_i50000_mak,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,1,0,archsim_m50_n50000_e200000_i50000_mak,50,50000,200000,50000
archsim_m50_n50000_e3200000_i200000_mak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,48,archsim_m50_n50000_e3200000_i200000_mak,50,50000,3200000,200000
archsim_m80_n200000_e800000_i200000_mak,6,0,34,1,0,0,0,0,0,0,0,0,0,0,0,2,7,archsim_m80_n200000_e800000_i200000_mak,80,200000,800000,200000
archsim_m100_n200000_e400000_i200000_mak,4,0,33,5,0,0,0,0,0,0,0,0,0,0,0,1,7,archsim_m100_n200000_e400000_i200000_mak,100,200000,400000,200000
archsim_m15_n100000_e1600000_i100000_mak,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,archsim_m15_n100000_e1600000_i100000_mak,15,100000,1600000,100000
archsim_m100_n50000_e1600000_i25000_mak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,43,archsim_m100_n50000_e1600000_i25000_mak,100,50000,1600000,25000
archsim_m20_n200000_e1600000_i50000_mak,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,archsim_m20_n200000_e1600000_i50000_mak,20,200000,1600000,50000
